,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,start_latlng,start_latitude,start_longitude,distance_km,day_of_week,month_of_year,year,elapsed_time_hr,moving_time_hr
26,10738792217,Lunch Alpine Ski,2024-02-10 11:27:58,AlpineSki,36347.8,0 days 00:00:00.000008461,0 days 00:00:00.000018075,3657.8,2248.4,1381.4,4.296,13.322,"[46.03253589011729, 6.937413085252047]",46.03253589011729,6.937413085252047,36.3478,Saturday,2,2024,5.020833333333334e-09,2.350277777777778e-09
27,10715105582,Afternoon Run,2024-02-07 15:42:57,Run,4680.9,0 days 00:00:00.000001845,0 days 00:00:00.000001854,43.0,1048.6,1018.2,2.537,3.461,"[45.9072302095592, 6.843565525487065]",45.9072302095592,6.843565525487065,4.680899999999999,Wednesday,2,2024,5.15e-10,5.125e-10
28,10708536686,Afternoon Run,2024-02-06 16:57:17,Run,3893.1,0 days 00:00:00.000001454,0 days 00:00:00.000001459,29.3,1064.4,1041.3,2.677,5.388,"[45.93153873458505, 6.886558905243874]",45.93153873458505,6.886558905243874,3.8931,Tuesday,2,2024,4.052777777777778e-10,4.0388888888888887e-10
29,10688787818,Afternoon Alpine Ski,2024-02-03 14:16:08,AlpineSki,26847.5,0 days 00:00:00.000007166,0 days 00:00:00.000009079,2235.1,2248.4,1476.0,3.747,15.254,"[46.014776481315494, 6.9565443601459265]",46.014776481315494,6.9565443601459265,26.8475,Saturday,2,2024,2.5219444444444443e-09,1.9905555555555555e-09
30,10672583246,Morning Nordic Ski,2024-02-01 08:59:41,NordicSki,4167.4,0 days 00:00:00.000001280,0 days 00:00:00.000001296,20.0,1061.0,1045.4,3.256,5.757,"[45.93224792741239, 6.884570801630616]",45.93224792741239,6.884570801630616,4.1674,Thursday,2,2024,3.6e-10,3.5555555555555555e-10
31,10665894031,Morning Nordic Ski,2024-01-31 08:50:29,NordicSki,9519.2,0 days 00:00:00.000002948,0 days 00:00:00.000003065,63.0,1077.2,1047.4,3.229,5.866,"[45.93226846307516, 6.884592343121767]",45.93226846307516,6.884592343121767,9.519200000000001,Wednesday,1,2024,8.513888888888889e-10,8.188888888888889e-10
32,10646092004,Lunch Nordic Ski,2024-01-28 11:43:59,NordicSki,10004.7,0 days 00:00:00.000003219,0 days 00:00:00.000003368,78.0,1077.6,1042.2,3.108,5.799,"[45.93228355050087, 6.8846337497234344]",45.93228355050087,6.8846337497234344,10.004700000000001,Sunday,1,2024,9.355555555555556e-10,8.941666666666666e-10
33,10639150860,Lunch Alpine Ski,2024-01-27 11:17:06,AlpineSki,19002.5,0 days 00:00:00.000005094,0 days 00:00:00.000006311,2199.2,2248.1,1364.9,3.73,13.464,"[46.032555252313614, 6.937051573768258]",46.032555252313614,6.937051573768258,19.0025,Saturday,1,2024,1.7530555555555555e-09,1.415e-09
34,10631586081,Morning Nordic Ski,2024-01-26 08:56:22,NordicSki,5957.2,0 days 00:00:00.000001813,0 days 00:00:00.000001829,40.0,1077.6,1042.6,3.286,6.493,"[45.93226703815162, 6.884621260687709]",45.93226703815162,6.884621260687709,5.957199999999999,Friday,1,2024,5.080555555555555e-10,5.036111111111111e-10
35,10602424114,Afternoon Nordic Ski,2024-01-21 15:18:39,NordicSki,6421.0,0 days 00:00:00.000002336,0 days 00:00:00.000002356,85.0,1134.0,1050.6,2.749,7.334,"[45.93232956714928, 6.884437445551157]",45.93232956714928,6.884437445551157,6.421,Sunday,1,2024,6.544444444444444e-10,6.488888888888889e-10
36,10597182919,Afternoon Alpine Ski,2024-01-20 13:15:01,AlpineSki,21252.4,0 days 00:00:00.000007025,0 days 00:00:00.000009761,2389.5,2392.4,1062.0,3.025,12.584,"[45.955709209665656, 6.886637024581432]",45.955709209665656,6.886637024581432,21.2524,Saturday,1,2024,2.7113888888888887e-09,1.951388888888889e-09
37,10597182052,Morning Nordic Ski,2024-01-19 09:10:43,NordicSki,3849.6,0 days 00:00:00.000001502,0 days 00:00:00.000001519,24.0,1072.4,1048.8,2.563,5.238,"[45.93226938508451, 6.884608855471015]",45.93226938508451,6.884608855471015,3.8495999999999997,Friday,1,2024,4.2194444444444445e-10,4.172222222222222e-10
38,10567946379,Morning Nordic Ski,2024-01-16 08:56:37,NordicSki,7070.6,0 days 00:00:00.000002766,0 days 00:00:00.000002985,94.0,1144.6,1048.0,2.556,6.57,"[45.93226544559002, 6.884598881006241]",45.93226544559002,6.884598881006241,7.070600000000001,Tuesday,1,2024,8.291666666666666e-10,7.683333333333334e-10
39,10561730014,Morning Nordic Ski,2024-01-15 09:05:49,NordicSki,7185.3,0 days 00:00:00.000002855,0 days 00:00:00.000002855,99.0,1148.2,1052.4,2.517,6.878,"[45.932292183861136, 6.884621176868677]",45.932292183861136,6.884621176868677,7.1853,Monday,1,2024,7.930555555555556e-10,7.930555555555556e-10
40,10550275025,Lunch Alpine Ski,2024-01-13 12:50:46,AlpineSki,27865.0,0 days 00:00:00.000006728,0 days 00:00:00.000008182,2466.7,2248.4,1473.7,4.142,16.412,"[46.01356118917465, 6.955209374427795]",46.01356118917465,6.955209374427795,27.865,Saturday,1,2024,2.2727777777777778e-09,1.8688888888888888e-09
41,10542120533,Morning Nordic Ski,2024-01-12 08:53:50,NordicSki,6242.2,0 days 00:00:00.000001979,0 days 00:00:00.000001979,40.0,1066.4,1048.0,3.154,5.198,"[45.932270558550954, 6.884611286222935]",45.932270558550954,6.884611286222935,6.2421999999999995,Friday,1,2024,5.497222222222223e-10,5.497222222222223e-10
42,10531485410,Afternoon Nordic Ski,2024-01-10 15:23:16,NordicSki,5744.8,0 days 00:00:00.000002198,0 days 00:00:00.000002311,61.0,1098.0,1043.6,2.614,5.343,"[45.9322976320982, 6.884576752781868]",45.9322976320982,6.884576752781868,5.744800000000001,Wednesday,1,2024,6.419444444444444e-10,6.105555555555555e-10
43,10522835716,Morning Nordic Ski,2024-01-09 08:54:15,NordicSki,6494.1,0 days 00:00:00.000002529,0 days 00:00:00.000002925,59.0,1103.6,1048.2,2.568,5.594,"[45.932283885777, 6.884629810228944]",45.932283885777,6.884629810228944,6.4941,Tuesday,1,2024,8.125e-10,7.025e-10
44,10511054608,Morning Nordic Ski,2024-01-07 09:19:52,NordicSki,7829.1,0 days 00:00:00.000002722,0 days 00:00:00.000002739,74.0,1104.2,1045.6,2.876,5.58,"[45.934538, 6.8899]",45.934538,6.8899,7.8291,Sunday,1,2024,7.608333333333333e-10,7.561111111111112e-10
45,10511049713,Lunch Nordic Ski,2024-01-06 11:44:35,NordicSki,7859.7,0 days 00:00:00.000003209,0 days 00:00:00.000003285,70.0,1103.6,1045.4,2.449,5.48,"[45.93228246085346, 6.884599635377526]",45.93228246085346,6.884599635377526,7.8597,Saturday,1,2024,9.125e-10,8.913888888888889e-10
46,10453247101,Lunch Alpine Ski,2023-12-28 12:50:58,AlpineSki,28402.5,0 days 00:00:00.000008100,0 days 00:00:00.000011183,2472.8,2248.4,1643.7,3.506,13.356,"[46.022279877215624, 6.97028037160635]",46.022279877215624,6.97028037160635,28.4025,Thursday,12,2023,3.1063888888888887e-09,2.25e-09
47,10445351989,Morning Alpine Ski,2023-12-27 09:32:49,AlpineSki,17276.9,0 days 00:00:00.000005798,0 days 00:00:00.000009186,2129.4,2476.3,1695.7,2.98,15.34,"[45.958807, 6.886959]",45.958807,6.886959,17.2769,Wednesday,12,2023,2.551666666666667e-09,1.6105555555555556e-09
